file,emotion
EmoDB\03a01Fa.wav,happiness
EmoDB\03a01Nc.wav,neutral
EmoDB\03a01Wa.wav,anger
EmoDB\03a02Fc.wav,happiness
EmoDB\03a02Nc.wav,neutral
EmoDB\03a02Ta.wav,sadness
EmoDB\03a02Wb.wav,anger
EmoDB\03a02Wc.wav,anger
EmoDB\03a04Ad.wav,fear
EmoDB\03a04Fd.wav,happiness
EmoDB\03a04Lc.wav,boredom
EmoDB\03a04Nc.wav,neutral
EmoDB\03a04Ta.wav,sadness
EmoDB\03a04Wc.wav,anger
EmoDB\03a05Aa.wav,fear
EmoDB\03a05Fc.wav,happiness
EmoDB\03a05Nd.wav,neutral
EmoDB\03a05Tc.wav,sadness
EmoDB\03a05Wa.wav,anger
EmoDB\03a05Wb.wav,anger
EmoDB\03a07Fa.wav,happiness
EmoDB\03a07Fb.wav,happiness
EmoDB\03a07La.wav,boredom
EmoDB\03a07Nc.wav,neutral
EmoDB\03a07Wc.wav,anger
EmoDB\03b01Fa.wav,happiness
EmoDB\03b01Lb.wav,boredom
EmoDB\03b01Nb.wav,neutral
EmoDB\03b01Td.wav,sadness
EmoDB\03b01Wa.wav,anger
EmoDB\03b01Wc.wav,anger
EmoDB\03b02Aa.wav,fear
EmoDB\03b02La.wav,boredom
EmoDB\03b02Na.wav,neutral
EmoDB\03b02Tb.wav,sadness
EmoDB\03b02Wb.wav,anger
EmoDB\03b03Nb.wav,neutral
EmoDB\03b03Tc.wav,sadness
EmoDB\03b03Wc.wav,anger
EmoDB\03b09La.wav,boredom
EmoDB\03b09Nc.wav,neutral
EmoDB\03b09Tc.wav,sadness
EmoDB\03b09Wa.wav,anger
EmoDB\03b10Ab.wav,fear
EmoDB\03b10Ec.wav,disgust
EmoDB\03b10Na.wav,neutral
EmoDB\03b10Nc.wav,neutral
EmoDB\03b10Wb.wav,anger
EmoDB\03b10Wc.wav,anger
EmoDB\08a01Ab.wav,fear
EmoDB\08a01Fd.wav,happiness
EmoDB\08a01Lc.wav,boredom
EmoDB\08a01Na.wav,neutral
EmoDB\08a01Wa.wav,anger
EmoDB\08a01Wc.wav,anger
EmoDB\08a02Ab.wav,fear
EmoDB\08a02Ac.wav,fear
EmoDB\08a02Fe.wav,happiness
EmoDB\08a02La.wav,boredom
EmoDB\08a02Na.wav,neutral
EmoDB\08a02Tb.wav,sadness
EmoDB\08a02Wc.wav,anger
EmoDB\08a04Ff.wav,happiness
EmoDB\08a04La.wav,boredom
EmoDB\08a04Nc.wav,neutral
EmoDB\08a04Tb.wav,sadness
EmoDB\08a04Wc.wav,anger
EmoDB\08a05Fe.wav,happiness
EmoDB\08a05Lc.wav,boredom
EmoDB\08a05Nb.wav,neutral
EmoDB\08a05Ta.wav,sadness
EmoDB\08a05Wa.wav,anger
EmoDB\08a07Fd.wav,happiness
EmoDB\08a07La.wav,boredom
EmoDB\08a07Na.wav,neutral
EmoDB\08a07Ta.wav,sadness
EmoDB\08a07Tb.wav,sadness
EmoDB\08a07Wc.wav,anger
EmoDB\08b01Aa.wav,fear
EmoDB\08b01Fd.wav,happiness
EmoDB\08b01Fe.wav,happiness
EmoDB\08b01Lb.wav,boredom
EmoDB\08b01Na.wav,neutral
EmoDB\08b01Wa.wav,anger
EmoDB\08b02Ff.wav,happiness
EmoDB\08b02La.wav,boredom
EmoDB\08b02Nb.wav,neutral
EmoDB\08b02Tc.wav,sadness
EmoDB\08b02Wd.wav,anger
EmoDB\08b03Fe.wav,happiness
EmoDB\08b03Lc.wav,boredom
EmoDB\08b03Nb.wav,neutral
EmoDB\08b03Tc.wav,sadness
EmoDB\08b03Wd.wav,anger
EmoDB\08b09Ab.wav,fear
EmoDB\08b09Fd.wav,happiness
EmoDB\08b09Lc.wav,boredom
EmoDB\08b09Nb.wav,neutral
EmoDB\08b09Tb.wav,sadness
EmoDB\08b09Wa.wav,anger
EmoDB\08b09Wc.wav,anger
EmoDB\08b10Aa.wav,fear
EmoDB\08b10Fd.wav,happiness
EmoDB\08b10La.wav,boredom
EmoDB\08b10Nc.wav,neutral
EmoDB\08b10Tc.wav,sadness
EmoDB\08b10Wa.wav,anger
EmoDB\09a01Ea.wav,disgust
EmoDB\09a01Fa.wav,happiness
EmoDB\09a01Nb.wav,neutral
EmoDB\09a01Wb.wav,anger
EmoDB\09a02Ea.wav,disgust
EmoDB\09a02Eb.wav,disgust
EmoDB\09a02La.wav,boredom
EmoDB\09a02Wb.wav,anger
EmoDB\09a04Fd.wav,happiness
EmoDB\09a04La.wav,boredom
EmoDB\09a04Nb.wav,neutral
EmoDB\09a04Wa.wav,anger
EmoDB\09a05Ed.wav,disgust
EmoDB\09a05Lc.wav,boredom
